timestamp,accX,accY,accZ
2.0,-0.17,3.7,9.17
15.0,-0.31,2.74,7.52
28.0,-0.44,2.95,8.94
41.0,-0.27,2.64,9.78
54.0,-0.13,2.08,10.88
66.0,-0.14,1.7,11.22
79.0,-0.22,1.62,10.81
92.0,-0.11,1.74,10.35
105.0,0.1,1.77,10.18
118.0,0.24,1.75,10.41
131.0,0.08,1.5,10.53
144.0,-0.37,0.93,10.71
156.0,-0.42,0.05,11.46
169.0,-0.61,-0.64,12.33
182.0,-1.06,-0.95,11.69
195.0,-1.53,-0.95,10.25
208.0,-1.36,-0.61,9.1
221.0,-0.83,-0.24,8.9
234.0,0.0,-0.1,9.25
247.0,0.8,-0.21,9.94
259.0,1.11,-0.36,9.95
272.0,1.0,-0.51,9.74
285.0,0.59,-0.86,9.47
298.0,0.22,-1.04,9.07
311.0,-0.03,-1.15,8.97
324.0,-0.08,-1.27,8.92
337.0,-0.0,-1.35,9.21
349.0,0.07,-1.47,9.28
362.0,0.17,-1.67,9.25
375.0,-0.02,-1.95,9.28
388.0,-0.32,-2.45,9.6
401.0,-0.66,-2.94,9.95
414.0,-0.44,-3.19,10.25
427.0,-0.14,-3.5,10.84
440.0,0.13,-3.71,11.18
452.0,0.2,-3.68,10.96
465.0,-0.16,-3.85,10.82
478.0,-0.65,-3.94,10.49
491.0,-0.96,-3.8,10.04
504.0,-1.08,-3.59,9.78
517.0,-0.88,-3.46,9.98
530.0,-0.6,-3.18,10.23
543.0,-0.4,-2.83,10.04
555.0,-0.38,-2.54,9.7
568.0,-0.42,-2.35,9.41
581.0,-0.38,-2.19,9.17
594.0,-0.31,-2.01,9.08
607.0,-0.46,-1.95,8.87
620.0,-0.71,-1.98,8.72
633.0,-1.32,-2.32,8.94
646.0,-1.38,-2.57,9.15
658.0,-1.0,-2.52,9.48
671.0,-0.43,-2.26,9.59
684.0,-0.02,-1.96,9.69
697.0,0.18,-1.7,9.85
710.0,-0.34,-1.53,9.58
723.0,-1.1,-1.5,9.2
736.0,-1.61,-1.24,8.72
748.0,-1.81,-0.71,8.49
761.0,-1.37,-0.23,9.09
774.0,-0.66,0.46,9.65
787.0,-0.1,1.06,9.97
800.0,0.31,1.41,10.31
813.0,0.36,1.7,10.3
826.0,0.29,1.98,10.33
838.0,0.28,2.34,10.18
851.0,-0.17,2.49,10.19
864.0,-0.97,2.27,10.26
877.0,-1.79,2.11,10.1
890.0,-2.19,2.15,10.18
903.0,-2.2,2.33,10.43
916.0,-1.8,2.6,10.78
928.0,-1.2,2.92,11.12
941.0,-0.69,3.18,11.19
954.0,-0.35,3.42,11.08
967.0,-0.15,3.51,11.26
980.0,-0.18,3.31,11.77
993.0,-0.44,3.06,12.06
1006.0,-0.61,2.98,11.8
1018.0,-0.56,3.01,11.5
1031.0,-0.33,3.09,11.14
1044.0,-0.11,3.13,10.92
1057.0,-0.03,3.11,10.78
1070.0,-0.11,2.91,10.89
1083.0,-0.41,2.48,11.13
1096.0,-0.74,2.01,11.27
1108.0,-1.13,1.66,10.97
1121.0,-1.39,1.47,10.35
1134.0,-1.27,1.75,9.65
1147.0,-0.65,2.17,9.36
1160.0,0.26,2.25,9.96
1173.0,0.74,1.92,11.09
1186.0,0.68,1.19,11.78
1198.0,0.16,0.55,11.61
1211.0,-0.42,0.19,10.83
1224.0,-0.36,0.38,9.69
1237.0,0.18,0.65,9.24
1250.0,1.04,0.73,9.74
1263.0,1.39,0.43,10.68
1276.0,0.6,-0.2,10.7
1288.0,-0.59,-0.78,9.97
1301.0,-1.6,-1.1,9.17
1314.0,-1.99,-1.16,8.39
1327.0,-1.16,-0.77,7.7
1340.0,0.02,-0.58,8.26
1353.0,0.83,-0.93,9.32
1366.0,0.61,-1.61,10.19
1378.0,-0.41,-2.42,10.34
1391.0,-1.57,-3.13,10.12
1404.0,-2.26,-3.42,9.37
1417.0,-2.12,-3.29,8.8
1430.0,-1.33,-3.05,8.83
1443.0,-0.27,-2.95,9.34
1456.0,0.34,-2.82,9.63
1469.0,0.34,-3.04,9.77
1481.0,-0.09,-3.53,10.14
1494.0,-0.7,-4.0,10.53
1507.0,-1.03,-4.34,10.64
1520.0,-1.2,-4.33,10.55
1533.0,-1.12,-4.13,10.23
1546.0,-0.98,-3.79,9.81
1559.0,-0.78,-3.3,9.26
1572.0,-0.62,-2.88,8.95
1584.0,-0.47,-2.62,8.81
1597.0,-0.39,-2.44,8.87
1610.0,-0.4,-2.46,9.23
1623.0,-0.59,-2.62,9.58
1636.0,-0.59,-2.6,9.51
1649.0,-0.31,-2.42,9.42
1662.0,0.18,-2.25,9.51
1675.0,0.56,-2.18,9.85
1687.0,0.35,-2.17,10.1
1700.0,-0.06,-2.61,10.29
1713.0,-0.72,-2.9,10.42
1726.0,-0.75,-2.6,9.95
1739.0,-0.56,-2.01,9.47
1752.0,-0.21,-1.46,9.24
1765.0,0.09,-1.0,9.35
1777.0,-0.15,-0.79,9.47
1790.0,-0.78,-0.71,9.28
1803.0,-1.24,-0.5,8.93
1816.0,-1.05,-0.35,9.51
1829.0,-0.55,-0.2,10.25
1842.0,-0.31,0.05,10.78
1855.0,-0.23,0.27,10.83
1868.0,-0.1,0.68,10.5
1880.0,0.01,1.17,9.99
1893.0,-0.06,1.56,9.67
1906.0,-0.2,1.68,10.11
1919.0,-0.41,1.8,10.27
1932.0,-0.8,1.9,10.48
1945.0,-0.86,2.01,10.87
1958.0,-0.52,2.27,11.23
1970.0,0.0,2.8,11.38
1983.0,0.28,3.25,11.45
1996.0,0.28,3.5,11.57
2009.0,-0.04,3.64,11.41
2022.0,-0.69,3.84,11.06
2035.0,-1.48,3.73,10.94
2047.0,-1.92,3.47,11.31
2060.0,-2.04,3.34,11.77
2073.0,-2.09,3.39,11.59
2086.0,-2.25,3.26,11.37
2099.0,-2.4,3.12,10.85
2112.0,-2.41,3.11,9.96
2125.0,-2.18,3.4,9.51
2138.0,-1.69,3.72,9.11
2150.0,-1.17,3.96,8.87
2163.0,-0.78,3.91,9.11
2176.0,-0.67,3.59,9.44
2189.0,-0.78,3.43,9.41
2202.0,-0.99,3.28,9.39
2215.0,-1.26,2.94,9.45
2228.0,-1.45,2.54,9.35
2240.0,-1.11,2.35,9.41
2253.0,-0.59,2.38,9.46
2266.0,-0.44,2.37,9.53
2279.0,-0.63,1.87,9.59
2292.0,-1.01,1.01,10.07
2305.0,-1.4,0.02,10.82
2318.0,-1.76,-0.83,11.24
2330.0,-2.1,-1.34,11.1
2343.0,-1.96,-1.53,10.4
2356.0,-1.13,-1.02,9.45
2369.0,-0.3,-0.65,9.29
2382.0,0.39,-0.47,9.35
2395.0,-0.04,-0.4,8.89
2408.0,-0.91,-0.61,8.49
2420.0,-1.29,-1.01,8.34
2433.0,-1.32,-1.55,8.63
2446.0,-1.51,-2.15,9.54
2459.0,-2.01,-2.8,10.04
2472.0,-2.27,-3.47,10.37
2485.0,-1.93,-3.81,10.68
2498.0,-1.38,-3.77,10.57
2511.0,-0.7,-3.3,10.17
2523.0,0.11,-2.71,9.7
2536.0,0.72,-2.29,9.5
2549.0,0.98,-2.37,9.67
2562.0,0.68,-2.71,10.05
2575.0,0.12,-3.19,10.28
2588.0,-0.42,-3.54,10.23
2601.0,-0.74,-3.56,9.95
2614.0,-0.76,-3.34,9.59
2626.0,-0.6,-3.06,9.39
2639.0,-0.55,-2.94,9.36
2652.0,-0.72,-2.98,9.41
2665.0,-0.87,-2.97,9.34
2678.0,-0.91,-2.91,9.43
2691.0,-0.76,-2.79,9.59
2704.0,-0.44,-2.64,9.69
2717.0,-0.18,-2.46,9.67
2729.0,0.0,-2.29,9.52
2742.0,0.08,-2.04,9.11
2755.0,-0.01,-1.87,8.79
2768.0,-0.28,-1.81,8.73
2781.0,-0.67,-2.29,9.51
2794.0,-1.09,-2.85,10.24
2807.0,-1.24,-2.72,9.74
2819.0,-0.98,-1.96,8.58
2832.0,-0.47,-0.8,7.36
2845.0,-0.25,0.12,6.92
2858.0,-0.18,-0.05,7.74
2871.0,-0.1,-0.42,9.02
2884.0,-0.04,-0.74,9.91
2897.0,-0.18,-1.0,10.76
2910.0,-0.26,-1.12,11.27
2922.0,-0.51,-0.93,11.11
2935.0,-0.76,-0.39,10.35
2948.0,-0.84,0.23,10.01
2961.0,-0.85,0.62,10.21
2974.0,-0.92,0.8,10.4
2987.0,-0.7,0.86,10.9
3000.0,-0.23,1.1,11.42
3013.0,0.17,1.3,11.71
3025.0,0.35,1.58,11.56
3038.0,0.15,1.87,10.82
3051.0,0.09,2.12,10.56
3064.0,0.3,2.23,11.17
3077.0,0.5,2.28,11.74
3090.0,0.5,2.35,12.06
3102.0,0.68,2.5,12.2
3115.0,0.84,2.69,12.28
3128.0,0.86,2.77,12.28
3141.0,0.74,2.65,12.54
3154.0,0.38,2.37,12.86
3167.0,-0.37,2.05,12.67
3179.0,-0.86,2.0,11.99
3192.0,-1.06,2.25,11.19
3205.0,-0.98,2.52,10.59
3218.0,-0.81,2.6,10.33
3231.0,-0.72,2.65,10.29
3244.0,-0.68,2.57,10.34
3257.0,-0.9,2.18,10.57
3269.0,-1.13,1.73,10.7
3282.0,-1.33,1.45,10.44
3295.0,-1.01,1.56,10.08
3308.0,-0.34,1.94,9.64
3321.0,0.25,2.3,9.39
3334.0,0.71,2.49,9.41
3347.0,0.7,2.3,9.65
3359.0,0.37,1.97,9.48
3372.0,0.11,1.61,9.29
3385.0,0.33,1.31,9.27
3398.0,0.93,1.04,9.78
3411.0,1.46,0.62,10.8
3424.0,1.76,0.2,11.28
3436.0,1.86,0.01,10.98
3449.0,1.93,0.08,10.43
3462.0,1.92,0.2,9.86
3475.0,1.71,-0.08,9.87
3488.0,1.02,-0.6,10.1
3501.0,0.21,-0.96,9.62
3514.0,-0.19,-0.82,8.51
3526.0,-0.26,-0.43,7.52
3539.0,0.47,-0.13,7.27
3552.0,0.94,-0.27,8.73
3565.0,0.7,-1.05,9.76
3578.0,-0.27,-1.99,10.0
3591.0,-1.21,-2.57,9.68
3604.0,-1.44,-2.73,9.21
3617.0,-1.17,-2.4,8.51
3629.0,-0.21,-1.91,8.04
3642.0,0.28,-1.97,8.83
3655.0,0.11,-2.47,9.51
3668.0,-0.78,-3.04,9.43
3681.0,-1.56,-3.56,9.42
3694.0,-2.29,-3.97,9.58
3707.0,-2.69,-4.66,10.26
3720.0,-2.78,-5.13,10.97
3732.0,-2.56,-5.04,11.0
3745.0,-2.06,-4.41,10.25
3758.0,-1.44,-3.66,9.65
3771.0,-0.95,-2.99,9.3
3784.0,-0.78,-2.51,8.89
3797.0,-0.69,-2.27,8.52
3810.0,-0.66,-2.26,8.54
3823.0,-0.55,-2.37,8.64
3835.0,-0.43,-2.73,9.18
3848.0,-0.5,-3.11,9.96
3861.0,-0.67,-3.43,10.25
3874.0,-1.27,-3.48,9.93
3887.0,-1.72,-3.18,8.98
3900.0,-1.81,-2.67,8.35
3913.0,-1.47,-2.19,8.36
3926.0,-1.02,-1.81,8.92
3938.0,-0.88,-1.69,9.48
3951.0,-1.09,-1.53,9.77
3964.0,-1.49,-1.36,9.67
3977.0,-2.09,-1.22,9.42
3990.0,-2.63,-0.93,8.79
4003.0,-2.68,-0.39,8.1
4016.0,-1.9,-0.05,8.96
4029.0,-0.94,0.21,9.99
4041.0,-0.22,0.21,11.1
4054.0,0.3,0.32,11.71
4067.0,0.73,0.5,12.4
4080.0,0.97,0.68,12.77
4093.0,0.83,1.02,12.65
4106.0,0.32,1.65,11.78
4118.0,-0.46,2.33,10.64
4131.0,-1.32,2.73,9.96
4144.0,-1.82,2.87,9.79
4157.0,-1.92,2.84,10.13
4170.0,-1.67,2.68,10.75
4183.0,-1.35,2.66,10.97
4196.0,-0.93,2.69,11.36
4208.0,-0.59,2.64,11.94
4221.0,-0.3,2.58,12.38
4234.0,0.0,2.62,12.56
4247.0,0.29,2.76,12.28
4260.0,0.55,3.0,11.54
4273.0,0.87,3.22,11.2
4286.0,1.1,3.22,11.11
4298.0,1.05,3.18,10.76
4311.0,0.97,3.2,10.33
4324.0,0.94,3.17,10.05
4337.0,0.85,3.02,9.99
4350.0,0.76,2.67,10.21
4363.0,0.44,2.07,10.53
4375.0,0.13,1.79,10.3
4388.0,-0.1,1.79,9.82
4401.0,-0.16,1.76,9.57
4414.0,-0.24,1.4,9.78
4427.0,-0.29,0.72,10.23
4440.0,-0.6,-0.26,11.26
4453.0,-0.76,-1.03,11.6
4465.0,-1.02,-1.21,10.86
4478.0,-0.94,-0.92,9.77
4491.0,-0.25,-0.24,8.9
4504.0,0.4,0.33,8.73
4517.0,0.36,-0.17,9.79
4530.0,-0.38,-1.06,10.21
4543.0,-1.31,-1.76,10.03
4556.0,-1.99,-2.13,9.74
4568.0,-2.16,-2.07,9.15
4581.0,-1.56,-1.75,9.07
4594.0,-0.8,-1.59,9.57
4607.0,-0.58,-1.72,10.0
4620.0,-1.02,-2.19,10.16
4633.0,-1.69,-2.69,9.98
4646.0,-2.21,-3.01,9.73
4659.0,-2.33,-3.13,9.52
4671.0,-1.85,-2.99,9.28
4684.0,-1.12,-2.66,9.04
4697.0,-0.51,-2.34,8.88
4710.0,-0.23,-2.2,8.96
4723.0,-0.48,-2.54,9.25
4736.0,-0.95,-3.18,9.58
4749.0,-1.33,-3.69,9.93
4762.0,-1.65,-4.06,10.21
4774.0,-1.91,-4.16,10.12
4787.0,-1.95,-3.91,9.79
4800.0,-2.02,-3.7,9.63
4813.0,-2.17,-3.46,9.14
4826.0,-2.05,-3.04,8.56
4839.0,-1.51,-2.58,8.49
4852.0,-0.83,-2.29,8.84
4865.0,-0.17,-2.18,9.32
4877.0,0.23,-2.24,9.8
4890.0,0.25,-2.49,10.09
4903.0,-0.08,-2.69,9.99
4916.0,-0.66,-2.84,9.51
4929.0,-1.04,-2.72,8.83
4942.0,-1.23,-2.43,8.45
4955.0,-1.04,-2.02,8.14
4967.0,-0.72,-1.81,8.67
4980.0,-0.52,-1.82,9.32
4993.0,-0.63,-1.83,9.62
5006.0,-0.81,-1.49,9.06
5019.0,-0.78,-0.88,8.22
5032.0,-0.42,-0.5,8.48
5045.0,0.09,-0.5,9.94
5058.0,0.38,-0.51,11.37
5070.0,0.63,-0.74,12.5
5083.0,0.63,-0.48,12.67
5096.0,0.5,-0.15,12.39
5109.0,0.37,0.41,11.67
5122.0,0.29,1.19,10.84
5135.0,0.38,2.05,10.18
5148.0,0.38,2.67,10.11
5160.0,0.2,2.97,9.93
5173.0,-0.37,3.45,9.1
5186.0,-0.77,3.41,9.13
5199.0,-1.12,3.04,9.87
5212.0,-1.25,2.87,10.31
5225.0,-1.19,2.85,10.7
5238.0,-1.06,3.01,10.74
5250.0,-0.97,3.2,10.54
5263.0,-0.9,3.23,10.79
5276.0,-0.75,3.07,11.47
5289.0,-0.51,3.06,11.64
5302.0,-0.29,3.28,11.15
5315.0,-0.02,3.48,10.63
5328.0,0.17,3.57,10.34
5340.0,0.26,3.6,10.3
5353.0,0.22,3.49,10.4
5366.0,-0.04,3.29,10.44
5379.0,-0.37,2.9,10.44
5392.0,-0.78,2.54,10.31
5405.0,-1.03,2.14,10.18
5418.0,-1.01,1.82,10.07
5430.0,-0.68,1.72,9.98
5443.0,-0.33,1.75,9.92
5456.0,-0.08,1.87,9.73
5469.0,0.39,2.04,9.8
5482.0,0.64,1.95,10.25
