timestamp,accX,accY,accZ
2.0,0.73,-0.4,9.92
15.0,0.48,-0.3,7.97
28.0,0.4,-0.37,9.52
41.0,0.29,-0.36,9.89
54.0,0.32,-0.36,10.11
67.0,0.37,-0.39,10.24
79.0,0.4,-0.4,10.25
92.0,0.39,-0.42,10.19
105.0,0.38,-0.4,10.05
118.0,0.39,-0.38,9.93
131.0,0.43,-0.33,9.89
144.0,0.48,-0.28,9.97
157.0,0.45,-0.22,10.01
169.0,0.4,-0.21,10.04
182.0,0.36,-0.22,10.0
195.0,0.29,-0.22,10.0
208.0,0.26,-0.26,10.07
221.0,0.23,-0.31,10.1
234.0,0.23,-0.38,10.09
247.0,0.26,-0.4,10.09
259.0,0.3,-0.42,10.05
272.0,0.33,-0.4,10.03
285.0,0.37,-0.37,10.03
298.0,0.45,-0.35,10.1
311.0,0.53,-0.29,10.15
324.0,0.58,-0.28,10.18
337.0,0.51,-0.28,10.07
349.0,0.41,-0.3,9.93
362.0,0.33,-0.33,9.81
375.0,0.28,-0.36,9.84
388.0,0.34,-0.38,9.99
401.0,0.43,-0.4,10.18
414.0,0.5,-0.37,10.26
427.0,0.49,-0.32,10.22
439.0,0.47,-0.3,10.04
452.0,0.4,-0.31,9.92
465.0,0.34,-0.36,9.9
478.0,0.34,-0.42,9.94
491.0,0.38,-0.41,10.07
504.0,0.46,-0.35,10.13
517.0,0.52,-0.33,10.16
529.0,0.52,-0.33,10.12
542.0,0.47,-0.34,10.06
555.0,0.48,-0.32,10.04
568.0,0.48,-0.36,10.06
581.0,0.48,-0.38,10.05
594.0,0.43,-0.36,10.04
607.0,0.42,-0.34,10.05
619.0,0.43,-0.35,10.05
632.0,0.47,-0.35,10.14
645.0,0.46,-0.36,10.13
658.0,0.4,-0.33,10.02
671.0,0.42,-0.3,10.03
684.0,0.44,-0.31,9.95
697.0,0.41,-0.34,9.94
709.0,0.4,-0.34,10.07
722.0,0.42,-0.35,10.22
735.0,0.39,-0.37,10.25
748.0,0.28,-0.39,10.1
761.0,0.2,-0.39,9.95
774.0,0.27,-0.36,9.88
787.0,0.39,-0.3,9.94
799.0,0.43,-0.3,10.01
