timestamp,accX,accY,accZ
2.0,-6.38,-0.64,7.83
15.0,-5.2,-0.45,6.43
28.0,-6.16,-0.69,8.1
41.0,-6.4,-0.96,9.01
54.0,-6.61,-1.12,9.39
67.0,-6.81,-1.07,9.21
79.0,-6.71,-0.87,9.14
92.0,-6.51,-0.75,9.35
105.0,-6.48,-0.76,9.45
118.0,-6.58,-0.91,9.63
131.0,-6.67,-1.11,9.83
144.0,-6.84,-1.36,9.92
157.0,-6.96,-1.51,9.91
170.0,-6.91,-1.55,9.74
182.0,-6.52,-1.43,9.43
195.0,-5.79,-1.35,9.55
208.0,-4.74,-1.33,10.16
221.0,-3.91,-1.2,10.61
234.0,-3.53,-1.01,10.37
247.0,-3.56,-0.8,9.2
260.0,-3.29,-0.99,8.58
273.0,-2.83,-1.4,8.95
285.0,-2.27,-1.64,9.61
298.0,-1.86,-1.93,9.82
311.0,-1.73,-2.27,10.05
324.0,-1.63,-2.42,9.76
337.0,-1.4,-2.55,9.56
350.0,-0.68,-2.47,9.28
363.0,0.3,-2.39,9.71
376.0,1.39,-2.57,10.56
388.0,2.27,-2.73,11.13
401.0,2.98,-2.91,11.47
414.0,3.82,-2.94,11.79
427.0,4.79,-2.72,12.03
440.0,5.69,-2.43,12.1
453.0,6.16,-2.34,12.11
466.0,6.2,-2.37,11.77
478.0,6.01,-2.44,11.37
491.0,5.88,-2.61,11.0
504.0,6.13,-2.77,10.91
517.0,6.79,-2.81,11.23
530.0,7.3,-2.78,11.64
543.0,7.18,-2.84,11.6
556.0,6.5,-2.8,10.93
568.0,5.79,-2.53,9.93
581.0,5.54,-2.16,9.47
594.0,5.45,-1.91,9.51
607.0,5.94,-2.04,9.9
620.0,6.31,-2.33,10.83
633.0,6.24,-2.65,11.4
646.0,5.29,-2.99,11.29
658.0,4.07,-3.16,10.62
671.0,2.61,-3.21,9.74
684.0,1.3,-3.03,8.82
697.0,1.79,-2.98,8.52
710.0,3.13,-2.73,9.95
723.0,4.15,-2.53,11.02
736.0,4.35,-2.71,11.57
748.0,3.27,-2.78,11.23
761.0,1.3,-2.88,9.89
774.0,-0.42,-2.93,8.97
787.0,-1.74,-2.82,8.78
800.0,-2.15,-2.46,8.81
813.0,-2.24,-1.91,8.66
826.0,-1.84,-1.53,8.79
838.0,-0.96,-1.7,10.06
851.0,-0.7,-1.96,11.77
864.0,-1.85,-2.02,11.56
877.0,-3.66,-1.88,10.25
890.0,-5.08,-1.65,9.24
903.0,-5.73,-1.42,8.96
916.0,-5.79,-1.22,9.17
929.0,-5.57,-0.89,9.25
941.0,-5.32,-0.54,9.09
954.0,-5.01,-0.22,8.91
967.0,-4.85,-0.15,9.23
980.0,-5.07,-0.17,9.45
993.0,-5.6,-0.26,9.29
1006.0,-6.05,-0.47,9.13
1019.0,-6.6,-0.72,9.15
1032.0,-7.03,-0.94,9.06
1044.0,-7.46,-1.06,8.81
1057.0,-7.61,-1.21,8.71
1070.0,-7.56,-1.36,9.02
1083.0,-7.46,-1.29,8.92
1096.0,-7.19,-1.23,8.79
1109.0,-6.63,-1.18,8.87
1122.0,-5.95,-1.13,9.14
1135.0,-5.05,-1.06,9.21
1147.0,-4.17,-0.96,9.05
1160.0,-3.53,-1.23,9.54
1173.0,-3.82,-1.63,10.06
1186.0,-4.75,-2.27,9.91
1199.0,-5.55,-3.04,9.49
1212.0,-5.36,-3.81,10.02
1225.0,-4.64,-4.3,10.89
1238.0,-3.58,-4.28,11.21
1250.0,-2.8,-3.49,10.3
1263.0,-2.16,-2.61,9.19
1276.0,-1.34,-2.16,8.73
1289.0,-0.35,-2.35,9.49
1302.0,0.04,-2.87,10.72
1315.0,0.22,-3.22,11.17
1328.0,0.79,-3.34,11.31
1341.0,1.89,-2.95,11.19
1353.0,3.04,-2.29,10.66
1366.0,3.85,-1.91,10.51
1379.0,4.45,-2.0,10.92
1392.0,5.36,-2.57,12.03
1405.0,6.32,-2.97,12.98
1418.0,6.99,-3.05,13.47
1431.0,7.19,-2.69,12.62
1443.0,7.23,-1.92,11.03
1456.0,7.41,-1.39,10.04
1469.0,7.8,-1.43,10.21
1482.0,8.13,-1.81,10.82
1495.0,8.23,-2.16,11.09
1508.0,7.94,-2.34,10.99
1521.0,7.27,-2.21,10.25
1533.0,6.58,-1.93,9.41
1546.0,6.23,-1.61,9.15
1559.0,6.11,-1.27,9.21
1572.0,6.08,-1.06,9.26
1585.0,6.0,-1.05,9.41
1598.0,5.86,-1.27,9.72
1611.0,5.46,-1.81,10.08
1623.0,4.9,-2.35,10.32
1636.0,4.15,-2.48,10.25
1649.0,3.56,-2.31,9.74
1662.0,2.78,-2.0,9.21
1675.0,2.11,-2.07,8.87
1688.0,2.67,-2.75,9.97
1701.0,3.41,-3.21,12.25
1713.0,2.98,-3.47,12.79
1726.0,1.3,-3.39,11.63
1739.0,-0.39,-3.15,10.3
1752.0,-1.67,-3.0,9.79
1765.0,-2.71,-2.67,9.28
1778.0,-3.31,-2.01,8.6
1791.0,-3.29,-1.35,8.32
1803.0,-2.68,-1.04,8.67
1816.0,-1.64,-1.39,10.43
1829.0,-1.95,-1.66,11.65
1842.0,-3.44,-2.08,11.16
1855.0,-5.04,-2.18,10.12
1868.0,-5.86,-2.0,9.53
1881.0,-5.97,-1.68,9.42
1894.0,-5.63,-1.39,9.71
1906.0,-5.21,-1.12,10.09
1919.0,-4.81,-0.61,9.94
1932.0,-4.79,-0.06,9.44
1945.0,-4.97,0.34,8.82
1958.0,-5.27,0.48,8.41
1971.0,-5.49,0.31,8.65
1984.0,-5.63,0.07,9.15
1997.0,-5.89,-0.36,9.5
2009.0,-6.11,-0.77,9.75
2022.0,-6.13,-0.94,9.81
2035.0,-6.24,-0.86,9.81
2048.0,-6.49,-0.83,9.48
2061.0,-6.69,-0.91,9.26
2074.0,-6.72,-0.93,9.01
2087.0,-6.38,-0.87,8.99
2100.0,-5.93,-0.68,8.85
2112.0,-5.38,-0.49,8.74
2125.0,-4.78,-0.52,8.89
2138.0,-4.67,-0.7,8.9
2151.0,-5.16,-1.1,8.79
2164.0,-5.31,-1.63,8.38
2177.0,-4.98,-2.05,8.58
2190.0,-4.26,-2.43,9.19
2202.0,-3.4,-2.65,9.81
2215.0,-2.83,-2.8,10.38
2228.0,-2.36,-2.86,10.12
2241.0,-1.95,-3.05,10.02
2254.0,-1.61,-3.18,9.67
2267.0,-1.03,-3.52,10.15
2280.0,0.11,-3.84,10.98
2293.0,1.23,-3.74,11.55
2305.0,2.24,-3.16,11.14
2318.0,2.98,-2.43,10.57
2331.0,3.85,-2.06,10.02
2344.0,4.58,-1.98,10.12
2357.0,5.74,-2.22,10.89
2370.0,6.88,-2.51,12.02
2383.0,7.37,-2.8,12.38
2395.0,7.16,-2.76,11.9
2408.0,6.98,-2.49,11.21
2421.0,7.31,-2.0,10.8
2434.0,7.95,-1.56,10.64
2447.0,8.34,-1.3,10.47
2460.0,8.62,-1.31,10.52
2473.0,8.56,-1.7,10.89
2485.0,8.07,-2.18,10.93
2498.0,7.36,-2.51,10.82
2511.0,6.77,-2.53,10.5
2524.0,6.26,-2.18,10.12
2537.0,6.54,-1.78,9.5
2550.0,6.85,-1.42,9.28
2563.0,6.78,-1.52,9.85
2575.0,6.3,-1.87,10.16
2588.0,5.01,-2.27,9.96
2601.0,3.62,-2.52,9.33
2614.0,2.52,-2.3,8.69
2627.0,2.45,-2.26,8.37
2640.0,3.58,-2.45,9.09
2653.0,5.06,-2.81,11.46
2665.0,4.92,-2.8,12.23
2678.0,3.16,-2.7,10.78
2691.0,1.52,-2.67,9.42
2704.0,0.32,-2.51,8.69
2717.0,-0.2,-2.04,8.31
2730.0,-0.38,-1.12,8.01
2743.0,-0.18,-0.6,8.13
2756.0,0.08,-0.79,9.32
2768.0,0.18,-1.72,11.05
2781.0,-0.72,-2.62,12.27
2794.0,-2.32,-2.95,11.75
2807.0,-4.21,-2.67,10.1
2820.0,-5.45,-2.23,8.92
2833.0,-5.91,-1.71,8.51
2846.0,-5.4,-1.19,8.68
2859.0,-4.61,-0.8,9.21
2871.0,-4.14,-0.34,9.34
2884.0,-4.27,-0.24,9.47
2897.0,-5.08,-0.48,9.61
2910.0,-6.07,-0.89,9.51
2923.0,-6.79,-1.23,9.59
2936.0,-7.13,-1.49,9.76
2949.0,-7.08,-1.5,9.99
2962.0,-6.79,-1.48,10.29
2974.0,-6.5,-1.56,10.89
2987.0,-6.45,-1.65,11.21
3000.0,-6.7,-1.63,11.08
3013.0,-7.01,-1.58,10.79
3026.0,-7.29,-1.47,10.44
3039.0,-7.07,-1.36,10.31
3052.0,-6.68,-1.2,10.35
3065.0,-6.09,-0.98,9.9
3077.0,-5.28,-0.7,9.62
3090.0,-4.33,-0.21,9.17
3103.0,-3.5,-0.1,9.23
3116.0,-3.3,-0.42,9.61
3129.0,-3.64,-0.92,9.38
3142.0,-3.94,-1.56,8.76
3155.0,-3.9,-2.06,8.2
3168.0,-3.19,-2.59,8.89
3180.0,-2.32,-3.26,10.17
3193.0,-0.98,-3.57,11.09
3206.0,0.63,-3.37,11.6
3219.0,1.63,-2.74,11.1
3232.0,2.02,-2.19,9.93
3245.0,1.8,-1.98,8.82
3258.0,1.59,-2.47,9.14
3270.0,1.9,-3.29,10.3
3283.0,2.77,-3.63,10.88
3296.0,4.09,-2.95,10.49
3309.0,5.29,-1.86,9.52
3322.0,6.01,-1.27,9.14
3335.0,6.76,-1.3,9.54
3348.0,7.43,-1.64,10.47
3360.0,7.71,-2.07,10.92
3373.0,7.32,-2.49,10.76
3386.0,6.93,-2.84,10.4
3399.0,7.14,-3.14,10.67
3412.0,7.76,-3.38,11.51
3425.0,8.51,-3.28,11.95
3438.0,8.84,-2.77,11.52
3450.0,8.52,-2.28,10.9
3463.0,7.86,-2.15,10.59
3476.0,7.24,-2.31,10.71
3489.0,6.89,-2.44,11.07
3502.0,6.53,-2.5,11.15
3515.0,6.23,-2.2,10.82
3528.0,5.86,-1.83,10.09
3540.0,5.3,-1.73,9.73
3553.0,4.78,-1.84,9.69
3566.0,4.58,-2.03,9.97
3579.0,4.04,-2.45,10.63
3592.0,3.35,-2.88,10.93
3605.0,2.71,-2.99,10.82
3618.0,2.21,-2.99,10.67
3630.0,2.07,-2.83,10.32
3643.0,1.47,-2.48,9.59
3656.0,1.14,-2.15,8.87
3669.0,0.75,-1.4,8.3
3682.0,0.49,-0.81,7.76
3695.0,0.17,-0.59,7.6
3708.0,-0.31,-0.81,7.59
3720.0,-0.52,-1.94,8.95
3733.0,-1.19,-2.89,10.75
3746.0,-2.33,-3.48,11.28
3759.0,-3.9,-3.42,10.48
3772.0,-5.15,-2.97,9.23
3785.0,-5.94,-2.33,8.26
3798.0,-6.02,-1.67,8.05
3811.0,-5.65,-1.04,7.9
3823.0,-4.98,-0.65,8.28
3836.0,-4.82,-0.77,9.48
3849.0,-5.46,-1.21,10.26
3862.0,-6.46,-1.48,10.03
3875.0,-7.01,-1.53,9.83
3888.0,-7.22,-1.53,9.91
3901.0,-7.22,-1.58,10.08
3914.0,-7.15,-1.68,10.44
3926.0,-7.25,-1.65,10.65
3939.0,-7.51,-1.47,10.38
3952.0,-7.67,-1.35,9.89
3965.0,-7.79,-1.35,9.78
3978.0,-7.77,-1.51,9.9
3991.0,-7.81,-1.66,10.09
4004.0,-7.63,-1.73,9.88
4017.0,-7.37,-1.7,9.75
4029.0,-6.63,-1.79,9.93
4042.0,-5.82,-1.79,10.38
4055.0,-5.16,-1.69,10.65
4068.0,-4.92,-1.56,10.16
4081.0,-4.67,-1.53,9.72
4094.0,-4.3,-1.41,9.05
4107.0,-3.98,-1.4,8.45
4120.0,-3.25,-1.52,8.24
4132.0,-2.45,-1.98,9.13
4145.0,-1.82,-2.43,9.68
4158.0,-1.06,-2.56,10.06
4171.0,-0.38,-2.44,10.2
4184.0,-0.22,-2.45,10.03
4197.0,-0.13,-2.87,10.1
4210.0,-0.02,-3.25,10.35
4223.0,0.49,-3.26,9.91
4235.0,0.83,-2.68,8.95
4248.0,1.29,-2.24,8.04
4261.0,2.05,-2.15,8.04
4274.0,3.2,-2.58,9.15
4287.0,4.28,-3.27,10.98
4300.0,5.07,-3.7,12.14
4313.0,5.44,-3.67,12.26
4325.0,5.63,-3.45,11.8
4338.0,5.97,-2.99,11.31
4351.0,6.56,-2.24,11.01
4364.0,7.08,-1.66,10.86
4377.0,7.6,-1.25,10.78
4390.0,8.01,-1.28,11.26
4403.0,8.36,-1.68,11.95
