timestamp,accX,accY,accZ
2.0,1.8,-1.48,7.49
15.0,1.68,-1.12,5.68
28.0,2.27,-1.17,6.09
41.0,2.01,-0.86,5.6
54.0,1.61,-0.54,5.26
66.0,1.45,-0.4,5.13
79.0,1.53,-0.27,5.23
92.0,1.68,-0.03,5.16
105.0,1.73,0.26,5.08
118.0,1.61,0.61,5.03
131.0,1.23,0.85,4.87
144.0,0.74,0.97,4.68
156.0,0.48,0.86,5.01
169.0,0.52,0.7,5.27
182.0,0.86,0.63,5.23
195.0,1.33,0.48,5.28
208.0,1.82,0.17,5.73
221.0,2.27,-0.14,6.26
234.0,2.56,-0.21,6.46
246.0,2.46,0.02,5.99
259.0,1.84,0.4,5.39
272.0,0.99,0.48,5.58
285.0,0.59,0.29,6.26
298.0,0.78,-0.02,6.93
311.0,1.39,-0.31,7.44
323.0,2.3,-0.23,7.35
336.0,2.89,-0.0,6.67
349.0,3.05,0.36,6.05
362.0,2.32,0.46,6.19
375.0,1.53,0.18,7.42
388.0,0.98,-0.24,8.51
401.0,0.86,-0.57,9.53
413.0,0.87,-0.64,10.17
426.0,0.7,-0.85,10.26
439.0,0.9,-0.83,10.36
452.0,0.96,-0.73,10.47
465.0,1.17,-0.59,10.44
478.0,1.51,-0.58,10.17
491.0,2.35,-0.48,9.92
503.0,2.91,-0.37,9.96
516.0,2.68,-0.52,10.52
529.0,1.85,-0.83,11.17
542.0,0.96,-1.45,12.21
555.0,0.8,-2.15,13.61
568.0,1.38,-2.73,14.87
581.0,2.26,-2.75,15.28
593.0,2.72,-2.07,14.41
606.0,2.02,-1.21,13.23
619.0,0.67,-0.95,12.9
632.0,-0.25,-1.3,13.68
645.0,-0.26,-1.83,14.84
658.0,0.29,-2.34,15.5
671.0,1.1,-2.6,15.66
683.0,1.71,-2.35,14.96
696.0,1.69,-1.68,13.69
709.0,1.14,-0.94,12.68
722.0,0.12,-0.67,12.32
735.0,-0.67,-0.77,12.56
748.0,-0.86,-1.13,13.1
761.0,-0.42,-1.56,13.66
774.0,0.22,-1.88,13.91
786.0,0.89,-1.87,13.83
799.0,1.07,-1.73,13.67
812.0,0.53,-1.65,13.69
825.0,-0.15,-1.61,13.96
838.0,-0.76,-1.62,14.26
851.0,-0.97,-1.58,14.38
864.0,-0.56,-1.54,14.12
876.0,-0.34,-1.73,13.11
889.0,0.68,-1.82,13.2
902.0,1.98,-1.75,13.51
915.0,2.43,-1.71,13.62
928.0,2.01,-1.32,12.85
941.0,1.26,-0.88,11.81
954.0,0.69,-0.82,11.75
966.0,0.69,-0.94,11.89
979.0,1.08,-1.03,11.59
992.0,1.36,-0.91,10.8
1005.0,1.66,-0.25,9.47
1018.0,1.2,0.23,8.29
1031.0,0.68,0.33,8.05
